Campaign,Campaign ID,Ad group,Keyword,Match type,Status
Campaign #1,23639524551,AI Strategy Session,"ai strategy session",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"ai readiness assessment",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"where to start with ai for business",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"ai consulting for small business",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"ai strategy consultant",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"ai adoption consulting",Phrase,Enabled
Campaign #1,23639524551,AI Strategy Session,"practical ai for business",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"ai implementation consulting",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"ai workflow automation consulting",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"vendor-neutral ai consulting",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"ai integration services for business",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"ai process automation consultant",Phrase,Enabled
Campaign #1,23639524551,AI Implementation & Build,"custom ai solutions small business",Phrase,Enabled
